,Id,Ordered,Made,Assayed,Maker,order_date,shipment_date
421,CHR-SOS-54d5cf3e-7,False,False,False,,,
422,CHR-SOS-54d5cf3e-8,False,False,False,,,
423,AMD-UAU-3d234461-1,False,False,False,enamine,2020-03-31,
424,AMD-UAU-3d234461-2,False,False,False,,,
425,GIA-UNK-995df016-1,False,False,False,,,
426,GIA-UNK-995df016-2,False,False,False,,,
427,GIA-UNK-995df016-3,False,False,False,,,
428,GIA-UNK-995df016-4,False,False,False,,,
429,GIA-UNK-995df016-5,False,False,False,,,
430,GIA-UNK-995df016-6,False,False,False,,,
431,GIA-UNK-995df016-7,False,False,False,,,
432,GIA-UNK-995df016-8,False,False,False,,,
433,GIA-UNK-995df016-9,False,False,False,,,
434,GIA-UNK-995df016-10,False,False,False,,,
435,GIA-UNK-995df016-11,False,False,False,,,
436,GIA-UNK-995df016-12,False,False,False,,,
437,GIA-UNK-995df016-13,False,False,False,,,
438,GIA-UNK-995df016-14,False,False,False,,,
439,GIA-UNK-995df016-15,False,False,False,,,
440,GIA-UNK-995df016-16,False,False,False,,,
441,GIA-UNK-995df016-17,False,False,False,,,
442,GIA-UNK-eaadd1d4-1,False,False,False,enamine,2020-03-31,2020-04-17
443,GIA-UNK-eaadd1d4-2,False,False,False,,,
444,GIA-UNK-eaadd1d4-3,False,False,False,enamine,2020-03-31,2020-04-17
445,CHR-SOS-7098f804-1,False,False,False,molport,2020-04-21,2020-06-01
446,CHR-SOS-7098f804-2,False,False,False,enamine,2020-03-31,2020-05-20
447,CHR-SOS-7098f804-3,False,False,False,enamine,2020-03-31,2020-05-13
448,CHR-SOS-7098f804-4,False,False,False,enamine,2020-03-31,2020-04-09
449,CHR-SOS-7098f804-5,False,False,False,enamine,2020-03-31,
450,CHR-SOS-7098f804-6,False,False,False,,,
451,CHR-SOS-7098f804-7,False,False,False,enamine,2020-03-31,2020-04-09
452,CHR-SOS-7098f804-8,False,False,False,,,
453,CHR-SOS-7098f804-9,False,False,False,,,
454,CHR-SOS-7098f804-10,False,False,False,enamine,2020-03-31,2020-05-13
